"","FICO","BAE201405ProjLoss","PMI6_1","DTIwoProspLoanAllEmp","REV201","SampleWeight","EALR"
"1",642,0.137625,0.1064375307,0.49,70284,1,0.137625
"2",676,0.02338,0.1145940924,0.17,2635,1,0.02338
"3",683,0.046998,0.1190686316,0.22,7186,1,0.046998
"4",683,0.035208,0.126595183,0.17,7058,1,0.035208
"5",654,0.042164,0.0956350285,0.34,17108,1,0.042164
"6",635,0.946069,0.0941420274,0.01,1158,1,0.946069
"7",642,0.098567,0.1020645517,0.01,30687,1,0.098567
"8",662,0.114459,0.104448933,0.36,25555,1,0.114459
"9",680,0.0289100597308409,0.1151092736,0.16,18549,2,0.0289100597308409
"10",693,0.086939,0.1163938294,0.27,25171,1,0.086939
"11",661,0.031124,0.1036554756,0.23,8374,1,0.031124
"12",735,0.072655,0.1163564894,0.26,6781,1,0.072655
"13",671,0.100071,0.0884158265,0.14,4526,1,0.100071
"14",637,0,0.1162904138,0.16,13151,2.5,0
"15",655,0.165027,0.1204761331,0.36,7895,1,0.165027
"16",679,0.092248,0.1204124675,0.29,3490,1,0.092248
"17",676,0.072293,0.0933887947,0.24,16582,1,0.072293
"18",651,0.0915257993591584,0.1074699768,0.04,6854,2,0.0915257993591584
"19",667,0.044634,0.1037241794,0.23,3393,1,0.044634
"20",664,0.109537,0.1191180413,0.1,10310,1,0.109537
"21",677,0.072673,0.1128817207,0.19,8682,1,0.072673
"22",708,0.085154,0.1038625788,0.34,17637,1,0.085154
"23",651,0.078786,0.1173012329,0.32,6385,1,0.078786
"24",664,0.137625,0.1299998805,0.46,11675,1,0.137625
"25",657,0.288585986417461,0.1243683253,0.11,49510,2,0.288585986417461
"26",694,0.056548,0.1003755211,0.35,77636,1,0.056548
"27",690,0.106059,0.0880657148,0.17,6897,1,0.106059
"28",638,0.00270801252199351,0.1134125118,0.17,6054,1,0.00270801252199351
"29",690,0,0.0692335471,0.24,145116,1,0
"30",663,0,0.1066658899,0.39,14598,2,0
"31",700,0.044705,0.0985231146,0.21,5114,1,0.044705
"32",715,0.023648,0.0918505303,0.22,12409,1,0.023648
"33",658,0,0.1279256302,0.34,33767,2,0
"34",669,0.046944,0.0885651955,0.21,13876,1,0.046944
"35",645,0.090759,0.0954491957,0.1,2438,1,0.090759
"36",665,0.00706490173950084,0.1179862057,0.03,1894,1,0.00706490173950084
"37",702,0.064546,0.1111519283,0.25,8351,1,0.064546
"38",672,0.075678,0.1260351545,0.27,6654,1,0.075678
"39",675,0.058996,0.0976909032,0.15,2074,1,0.058996
"40",703,0.086149,0.129082269,0.13,36240,1,0.086149
"41",681,0.00581990007727881,0.101154101,0.24,4429,2,0.00581990007727881
"42",676,0.025732,0.1094544647,0.11,2511,1,0.025732
"43",670,0.042392,0.1026189772,0.24,4550,1,0.042392
"44",700,0.028935,0.0893972224,0.23,18590,1,0.028935
"45",685,0.050783,0.127656536,0.27,6076,1,0.050783
"46",655,0.117686,0.109858314,0.32,16729,1,0.117686
"47",640,0.078241,0.1011342736,0.08,388,1,0.078241
"48",690,0.101742,0.1177733231,0.41,11177,1,0.101742
"49",668,0.083583,0.1121640153,0.38,9246,1,0.083583
"50",663,0.086286,0.1038651057,0.19,4106,1,0.086286
"51",639,0.0291555258377535,0.1269525157,0.07,1801,1,0.0291555258377535
"52",649,0.101713,0.1220888394,0.21,11790,1,0.101713
"53",660,0.09746,0.1082422837,0.16,3420,1,0.09746
"54",700,0.101742,0.1226896027,0.45,3223,1,0.101742
"55",738,0.101742,0.1203200834,0.37,7352,1,0.101742
"56",671,0.043443,0.1081168744,0.23,9186,1,0.043443
"57",686,0.081535,0.1037413648,0.42,20660,1,0.081535
"58",678,0.062593,0.0903777811,0.19,9908,1,0.062593
"59",670,0.267216,0.1200152202,0.38,32751,1,0.267216
"60",669,0.132447,0.1252092113,0.25,0,1,0.132447
"61",672,0.060917,0.090010799,0.3,9078,1,0.060917
"62",661,0.088572,0.1025804722,0.29,23816,1,0.088572
"63",667,0.078782,0.1255138164,0.35,235005,1,0.078782
"64",665,0.03868,0.1075064016,0.19,7682,1,0.03868
"65",738,0.030936,0.1042675159,0.17,5351,1,0.030936
"66",658,0.097808,0.1235720774,0.08,1587,1,0.097808
